paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
Robust flight navigation out of distribution with liquid neural networks,Learning When to Ask for Help: Transferring Human Knowledge through Part-Time Demonstration,Makram Chahine and Ramin Hasani and Patrick Kao and Aaron Ray and Ryan Shubert and Mathias Lechner and Alexander Amini and Daniela Rus,Ifueko Igbinedion and Sertac Karaman,0.9226
All-purpose hashing,Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul,0.9226
Tight bounds for parallel paging and green paging,A Nearly Quadratic Improvement for Memory Reallocation,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9226
Spectral pinns: Fast uncertainty propagation with physics-informed neural networks,TENG: Time-evolving natural gradient for solving PDEs with deep neural nets toward machine precision,Björn Lütjens and Catherine H Crawford and Mark Veillette and Dava Newman,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.9226
The mit supercloud workload classification challenge,Making Machine Learning on HPC Systems Cost-Effective and Carbon-Friendly,Benny J Tang and Qiqi Chen and Matthew L Weiss and Nathan C Frey and Joseph McDonald and David Bestor and Charles Yee and William Arcand and William Bergeron and Chansup Byun and Daniel Edelman and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Adam Michaleas and Peter Michaleas and Lauren Milechin and Julia Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Andrew Bowne and Lindsey McEvoy and Baolin Li and Devesh Tiwari and Jiay Gadepally and Siddharth Samsi,Baolin Li,0.9226
Programming technologies for engineering quality multicore software,Batched sparse and mixed-precision linear algebra interface for efficient use of GPU hardware accelerators in scientific applications,Tim Tim FS Kaler,Piotr Luszczek and Ahmad Abdelfattah and Hartwig Anzt and Atsushi Suzuki and Stanimire Tomov,0.9226
Optimal Bounds for Open Addressing Without Reordering,A Nearly Quadratic Improvement for Memory Reallocation,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9226
Trak: Attributing model behavior at scale,"The journey, not the destination: How data guides diffusion models",Sung Min Park and Kristian Georgiev and Andrew Ilyas and Guillaume Leclerc and Aleksander Madry,Kristian Georgiev and Joshua Vendrow and Hadi Salman and Sung Min Park and Aleksander Madry,0.9225
Social interactions as recursive mdps,"Generalized multiagent reinforcement learning for coverage path planning in unknown, dynamic, and hazardous environments",Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Boris Katz and Andrei Barbu,Andrea Henshall and Sertac Karaman,0.9225
Characterizing multi-instance gpu for machine learning workloads,"John Holodnak, et al. Ai-enabling workloads on large-scale gpu-accelerated system: Characterization, opportunities, and implications",Baolin Li and Viiay Gadepally and Siddharth Samsi and Devesh Tiwari,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron,0.9225
Distributionally adaptive meta reinforcement learning,Redeeming intrinsic rewards via constrained policy optimization,Anurag Ajay and Abhishek Gupta and Dibya Ghosh and Sergey Levine and Pulkit Agrawal,Eric R Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,0.9225
Tight bounds for parallel paging and green paging,How asymmetry helps buffer management: achieving optimal tail size in cup games,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,William Kuszmaul,0.9225
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,0.9224
Causal navigation by continuous-time neural networks,Gigastep-one billion steps per second multi-agent reinforcement learning,Charles Vorbach and Ramin Hasani and Alexander Amini and Mathias Lechner and Daniela Rus,Mathias Lechner and Tim Seyde and Tsun-Hsuan Johnson Wang and Wei Xiao and Ramin Hasani and Joshua Rountree and Daniela Rus,0.9224
Randomized cup game algorithms against strong adversaries,Towards an Analysis of Quadratic Probing,Michael A Bender and William Kuszmaul,William Kuszmaul and Zoe Xi,0.9224
AI-assisted discovery of quantitative and formal models in social science,Deep Learning and Symbolic Regression for Discovering Parametric Equations,Julia Balla and Sihao Huang and Owen Dugan and Rumen Dangovski and Marin Soljacic,Samuel Kim and Michael Zhang and Peter Y Lu and Marin Soljacic,0.9224
Linear probing revisited: Tombstones mark the death of primary clustering,Nearly Optimal List Labeling,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9224
Incremental edge orientation in forests,Tight Bounds for Classical Open Addressing,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9224
Speedcode: Software Performance Engineering Education via the Coding of Didactic Exercises,Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Tim Kaler and Xuhao Chen and Brian Wheatman and Dorothy Curtis and Bruce Hoppe and Tao B Schardl and Charles E Leiserson,Nikhil Reddy,0.9224
Optimization and Generalization of Minimax Algorithms,Redeeming intrinsic rewards via constrained policy optimization,Sarath Pattathil,Eric R Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,0.9224
Tsunami: A learned multi-dimensional index for correlated data and skewed workloads,Towards instance-optimized data systems,Jialin Ding and Vikram Nathan and Mohammad Alizadeh and Tim Kraska,Tim Kraska,0.9223
Tsunami: A learned multi-dimensional index for correlated data and skewed workloads,Can learned models replace hash functions?,Jialin Ding and Vikram Nathan and Mohammad Alizadeh and Tim Kraska,Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Michael Mitzenmacher and Tim Kraska,0.9223
Trak: Attributing model behavior at scale,Combining diverse feature priors,Sung Min Park and Kristian Georgiev and Andrew Ilyas and Guillaume Leclerc and Aleksander Madry,Saachi Jain and Dimitris Tsipras and Aleksander Madry,0.9223
Identifying statistical bias in dataset replication,A data-based perspective on transfer learning,Logan Engstrom and Andrew Ilyas and Shibani Santurkar and Dimitris Tsipras and Jacob Steinhardt and Aleksander Madry,Saachi Jain and Hadi Salman and Alaa Khaddaj and Eric Wong and Sung Min Park and Aleksander Mądry,0.9223
Achieving optimal backlog in multi-processor cup games,A Nearly Quadratic Improvement for Memory Reallocation,Michael A Bender and Martín Farach-Colton and William Kuszmaul,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9223
Flushing without cascades,"Increment-and-freeze: Every cache, everywhere, all of the time",Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,Michael A Bender and Daniel DeLayo and Bradley C Kuszmaul and William Kuszmaul and Evan West,0.9223
Benchmarking resource usage for efficient distributed deep learning,Energy-aware neural architecture selection and hyperparameter optimization,Nathan C Frey and Baolin Li and Joseph McDonald and Dan Zhao and Michael Jones and David Bestor and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,Nathan C Frey and Dan Zhao and Simon Axelrod and Michael Jones and David Bestor and Vijay Gadepally and Rafael Gómez-Bombarelli and Siddharth Samsi,0.9223
Transparent checkpointing for automatic differentiation of program loops through expression transformations,"Instead of Rewriting Foreign Code for Machine Learning, Automatically Synthesize Fast Gradients!",Michel Schanen and Sri Hari Krishna Narayanan and Sarah Williamson and Valentin Churavy and William S Moses and Ludger Paehler,William S Moses Valentin Churavy,0.9223
The computational limits of deep learning,Energy-aware neural architecture selection and hyperparameter optimization,Neil C Thompson and Kristjan Greenewald and Keeheon Lee and Gabriel F Manso,Nathan C Frey and Dan Zhao and Simon Axelrod and Michael Jones and David Bestor and Vijay Gadepally and Rafael Gómez-Bombarelli and Siddharth Samsi,0.9222
Editing a classifier by rewriting its prediction rules,Combining diverse feature priors,Shibani Santurkar and Dimitris Tsipras and Mahalaxmi Elango and David Bau and Antonio Torralba and Aleksander Madry,Saachi Jain and Dimitris Tsipras and Aleksander Madry,0.9222
Identifying statistical bias in dataset replication,Combining diverse feature priors,Logan Engstrom and Andrew Ilyas and Shibani Santurkar and Dimitris Tsipras and Jacob Steinhardt and Aleksander Madry,Saachi Jain and Dimitris Tsipras and Aleksander Madry,0.9222
Terrace: A hierarchical graph container for skewed dynamic graphs,GraphBLAS on the Edge: High Performance Streaming of Network Traffic.,Prashant Pandey and Brian Wheatman and Helen Xu and Aydin Buluc,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and C Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,0.9222
Phase: Physically-grounded abstract social events for machine social perception,Trajectory prediction with linguistic representations,Aviv Netanyahu and Tianmin Shu and Boris Katz and Andrei Barbu and Joshua B Tenenbaum,Yen-Ling Kuo and Xin Huang and Andrei Barbu and Stephen G McGill and Boris Katz and John J Leonard and Guy Rosman,0.9222
Discovering conservation laws using optimal transport and manifold learning,Continuous deep equilibrium models: Training neural odes faster by integrating them to infinity,Peter Y Lu and Rumen Dangovski and Marin Soljačić,Avik Pal and Alan Edelman and Chris Rackauckas,0.9222
Lsched: A workload-aware learned query scheduler for analytical database systems,Towards a benchmark for learned systems,Ibrahim Sabek and Tenzin Samten Ukyab and Tim Kraska,Laurent Bindschaedler and Andreas Kipf and Tim Kraska and Ryan Marcus and Umar Farooq Minhas,0.9222
All-purpose hashing,Randomized Data Structures: New Perspectives and Hidden Surprises,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul,0.9222
Flushing without cascades,Optimal Bounds for Open Addressing Without Reordering,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9222
IcebergHT: High performance PMEM hash tables through stability and low associativity,Mosaic Pages: Big TLB Reach with Small,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,AMD Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Evan West and Michael A Bender and Abhishek Bhattacharjee and Martín Farach-Colton,0.9222
Programming technologies for engineering quality multicore software,Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,Tim Tim FS Kaler,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9222
Modelingtoolkit: A composable graph transformation system for equation-based modeling,Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,Yingbo Ma and Shashi Gowda and Ranjan Anantharaman and Chris Laughman and Viral Shah and Chris Rackauckas,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,0.9221
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,The mit supercloud workload classification challenge,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Benny J Tang and Qiqi Chen and Matthew L Weiss and Nathan C Frey and Joseph McDonald and David Bestor and Charles Yee and William Arcand and William Bergeron and Chansup Byun and Daniel Edelman and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Adam Michaleas and Peter Michaleas and Lauren Milechin and Julia Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Andrew Bowne and Lindsey McEvoy and Baolin Li and Devesh Tiwari and Jiay Gadepally and Siddharth Samsi,0.9221
Approximating robot configuration spaces with few convex sets using clique covers of visibility graphs,Certifying bimanual rrt motion plans in a second,Peter Werner and Alexandre Amice and Tobia Marcucci and Daniela Rus and Russ Tedrake,Alexandre Amice and Peter Werner and Russ Tedrake,0.9221
The mit supercloud workload classification challenge,DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,Benny J Tang and Qiqi Chen and Matthew L Weiss and Nathan C Frey and Joseph McDonald and David Bestor and Charles Yee and William Arcand and William Bergeron and Chansup Byun and Daniel Edelman and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Adam Michaleas and Peter Michaleas and Lauren Milechin and Julia Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Andrew Bowne and Lindsey McEvoy and Baolin Li and Devesh Tiwari and Jiay Gadepally and Siddharth Samsi,Baolin Li and Tirthak Patel and Vijay Gadepally and Karen Gettings and Siddharth Samsi and Devesh Tiwari,0.9221
